,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
102379,1.66,93.12,1148,2.35,pecor,27.0,0.0,0
95214,0.0,93.68,1108,2.08,neathery,27.0,1.9,0
46041,7.78,86.38,1953,2.51,gadberry,27.0,1.07,0
139080,2.17,93.0,1887,2.54,vandemark,27.0,0.0,0
107021,0.33,92.99,1526,3.15,pribble,27.0,1.9700000000000000,0
137384,0.0,96.26,1095,1.19,turbyfill,27.0,0.55,0
15075,0.0,94.86,1110,1.62,bosserman,27.0,0.63,0
69154,39.35,55.1,1530,1.76,kirkendoll,27.0,0.0,0
47384,12.56,82.77,1091,2.11,gassett,28.0,0.92,0
56555,37.4,57.09,1559,1.92,hayslett,28.0,1.09,0
139254,0.0,97.17,1486,0.87,vanderwall,28.0,0.61,0
7053,0.0,96.61,1032,1.55,baldree,28.0,0.0,0
106239,0.45,97.04,1116,0.81,poppell,28.0,0.0,0
122892,0.8,95.52,1004,2.19,shifflet,28.0,0.0,0
123282,12.54,82.47,1124,1.6,shoultz,28.0,1.33,0
10496,22.2,73.39,1090,1.74,bennefield,28.0,0.0,0
116589,0.97,94.16,1439,1.6,salsman,28.0,1.3200000000000000,0
102184,0.0,94.25,1478,3.86,pawloski,28.0,0.41,0
146109,0.43,94.85,1398,2.65,winland,28.0,1.0,0
27490,0.0,96.87,1342,1.42,crager,28.0,0.0,0
60666,0.0,96.21,1056,1.04,hornbaker,28.0,0.47,0
129522,0.0,95.71,1189,2.52,stottlemyer,28.0,0.76,0
28795,0.0,96.24,1704,0.59,curtsinger,28.0,1.47,0
74910,0.0,96.84,1235,1.54,lamphier,28.0,0.98,0
130381,0.58,95.44,1556,1.67,styers,28.0,1.29,0
131455,0.49,95.65,1012,1.19,swicegood,28.0,1.8800000000000000,0
59557,0.0,98.63,1611,0.62,hodzic,28.0,0.0,0
70550,0.59,94.33,2539,2.88,koeller,28.0,0.55,0
100036,0.0,96.88,2241,1.03,owenby,28.0,0.4,0
4378,0.37,95.06,1355,2.29,arehart,28.0,1.33,0
79712,0.73,95.18,2053,2.63,loflin,28.0,0.63,0
18889,0.0,96.1,1076,1.86,burnsed,28.0,0.0,0
54424,41.36,53.95,1088,1.29,hagwood,29.0,0.0,0
78750,0.0,94.36,1224,2.7,lindamood,29.0,0.9,0
79307,0.0,96.61,1151,1.3,litzinger,29.0,0.43,0
22605,0.0,95.19,1186,3.12,cerniglia,29.0,0.0,0
131415,0.41,95.82,2658,1.81,sweigart,29.0,0.98,0
15596,0.0,87.18,1045,3.06,boydstun,29.0,5.65,0
20600,0.72,90.2,1398,5.79,canup,29.0,1.58,0
61625,0.0,94.36,1881,2.82,hullinger,29.0,0.74,0
87318,34.51,58.31,1475,3.8,mcglothin,29.0,1.16,0
143185,0.0,96.32,1059,2.55,warchol,29.0,0.0,0
126069,0.0,94.23,1161,3.19,soliday,29.0,0.0,0
74817,0.0,91.51,1190,4.87,lamendola,29.0,1.68,0
147187,0.0,95.94,1011,1.19,wozny,29.0,0.99,0
2170,12.83,81.38,2900,2.31,allmon,29.0,1.73,0
49271,0.0,93.16,1068,2.9,gilpatrick,29.0,1.12,0
50648,1.03,93.53,1360,1.76,gonser,29.0,1.69,0
32796,0.0,94.76,1125,1.51,deschaine,29.0,1.16,0
32721,0.0,97.78,1034,0.87,derstine,29.0,0.48,0
70422,0.0,95.35,1118,2.15,kochis,29.0,0.72,0
24819,5.68,89.08,1392,2.01,claborn,29.0,0.0,0
95239,0.0,97.9,1570,0.83,necaise,30.0,0.38,0
22318,0.0,87.24,1512,3.24,cearley,30.0,3.31,0
13972,0.0,95.48,1661,2.23,bohnert,30.0,1.02,0
1271,9.34,85.22,1414,3.54,ahart,30.0,0.0,0
144628,10.99,84.81,2330,1.46,westberry,30.0,1.15,0
80247,0.0,96.54,1070,0.84,lorah,30.0,0.84,0
32701,9.67,83.88,2090,4.31,derrico,30.0,0.0,0
142816,2.59,90.6,1468,2.32,waldroup,30.0,2.8600000000000000,0
139204,0.0,95.73,1735,1.79,vandermolen,30.0,0.98,0
58603,0.0,93.52,1265,2.13,hibdon,30.0,1.9,0
133353,3.04,90.99,1908,3.2,teneyck,30.0,1.46,0
39013,0.63,95.93,1277,1.57,elsea,30.0,1.48,0
80698,0.0,96.28,1238,1.13,lovvorn,30.0,0.0,0
112703,0.58,96.26,1710,0.99,rivenbark,30.0,0.0,0
50070,23.64,72.89,1210,1.07,godbee,30.0,0.0,0
36500,0.45,96.13,1319,1.82,dudash,31.0,0.61,0
97991,0.0,93.32,1887,3.92,odowd,31.0,0.74,0
119984,0.0,94.53,1335,1.8,schug,31.0,1.27,0
110727,0.0,96.26,1070,1.4,reigel,31.0,0.84,0
99634,0.0,96.28,1533,1.5,osowski,31.0,0.52,0
