,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,Other
65360,0.0,4.12,170,93.53,jurez,8.0,0.0,0
148493,0.0,4.52,199,89.95,yuriar,8.0,3.02,0
113126,2.92,11.11,171,85.38,roderiguez,8.0,0.0,0
93146,0.0,2.43,247,97.57,moyao,8.0,0.0,0
113138,0.0,0.0,110,96.36,rodgriguez,8.0,0.0,0
84815,0.0,10.9,1037,86.11,marrujo,8.0,1.83,0
133429,0.0,4.43,158,95.57,tepan,8.0,0.0,0
102344,0.0,0.0,122,97.54,pecero,8.0,0.0,0
110097,0.0,8.19,171,90.06,razuri,8.0,0.0,0
139991,0.0,4.63,216,94.44,varguez,8.0,0.0,0
53280,0.0,0.0,115,97.39,guijon,8.0,0.0,0
37801,0.0,7.41,162,92.59,echazabal,8.0,0.0,0
23064,0.0,30.25,119,67.23,chapparo,8.0,0.0,0
79382,0.0,1.34,373,98.12,lizarde,8.0,0.0,0
64166,0.0,9.42,191,87.43,jaurequi,8.0,0.0,0
4070,0.0,4.22,427,95.55,arauza,8.0,0.0,0
94775,0.0,17.27,139,82.01,narango,8.0,0.0,0
51470,0.0,17.07,164,81.71,grafals,8.0,0.0,0
21563,0.0,6.34,205,93.17,casallas,8.0,0.0,0
10154,0.0,5.6,1143,93.61,belmares,8.0,0.0,0
117373,0.0,6.5,400,92.75,santoy,8.0,0.0,0
138710,0.0,10.53,418,87.56,valdiviez,8.0,0.0,0
126136,0.0,2.52,278,96.76,solorsano,8.0,0.0,0
136910,5.18,10.35,367,83.65,trujeque,8.0,0.0,0
108168,0.0,7.32,164,91.46,quebedo,8.0,0.0,0
97646,0.0,16.67,144,77.78,obaya,8.0,0.0,0
4544,0.0,4.98,422,95.02,aristondo,8.0,0.0,0
7018,1.2,4.82,415,92.77,baldera,8.0,0.0,0
90105,0.0,0.0,177,98.31,miguelangel,8.0,0.0,0
27288,0.0,1.98,354,97.46,coutino,8.0,0.0,0
6993,0.0,4.59,196,88.27,balcorta,8.0,6.63,0
